"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","591","425","2","0"
"2021 Spring Primary","02","ASHLAND COUNTY","660","548","0","0"
"2021 Spring Primary","03","BARRON COUNTY","1257","1160","9","0"
"2021 Spring Primary","04","BAYFIELD COUNTY","661","414","0","0"
"2021 Spring Primary","05","BROWN COUNTY","14147","13547","19","0"
"2021 Spring Primary","06","BUFFALO COUNTY","290","52","0","0"
"2021 Spring Primary","07","BURNETT COUNTY","540","308","1","0"
"2021 Spring Primary","08","CALUMET COUNTY","1851","1663","8","0"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2141","1911","0","0"
"2021 Spring Primary","10","CLARK COUNTY","648","292","6","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2278","2130","0","0"
"2021 Spring Primary","12","CRAWFORD COUNTY","481","280","10","0"
"2021 Spring Primary","13","DANE COUNTY","36887","35730","6","0"
"2021 Spring Primary","14","DODGE COUNTY","2954","2673","0","0"
"2021 Spring Primary","15","DOOR COUNTY","1386","1191","0","0"
"2021 Spring Primary","16","DOUGLAS COUNTY","2555","2530","18","0"
"2021 Spring Primary","17","DUNN COUNTY","1531","1413","0","0"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3541","3526","5","0"
"2021 Spring Primary","19","FLORENCE COUNTY","190","140","16","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","3912","3335","39","0"
"2021 Spring Primary","21","FOREST COUNTY","298","254","0","0"
"2021 Spring Primary","22","GRANT COUNTY","1681","1222","15","0"
"2021 Spring Primary","23","GREEN COUNTY","1484","1417","4","0"
"2021 Spring Primary","24","GREEN LAKE COUNTY","609","556","10","0"
"2021 Spring Primary","25","IOWA COUNTY","1127","1083","0","0"
"2021 Spring Primary","26","IRON COUNTY","350","335","2","0"
"2021 Spring Primary","27","JACKSON COUNTY","400","268","0","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3093","2559","0","0"
"2021 Spring Primary","29","JUNEAU COUNTY","798","526","5","0"
"2021 Spring Primary","30","KENOSHA COUNTY","7888","7717","2","0"
"2021 Spring Primary","31","KEWAUNEE COUNTY","720","705","20","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","5434","5365","83","0"
"2021 Spring Primary","33","LAFAYETTE COUNTY","545","396","1","0"
"2021 Spring Primary","34","LANGLADE COUNTY","500","308","0","0"
"2021 Spring Primary","35","LINCOLN COUNTY","1166","437","0","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","2950","2825","9","0"
"2021 Spring Primary","37","MARATHON COUNTY","5412","5058","9","0"
"2021 Spring Primary","38","MARINETTE COUNTY","1759","1727","13","0"
"2021 Spring Primary","39","MARQUETTE COUNTY","506","183","0","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","0","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","58843","55927","2","0"
"2021 Spring Primary","42","MONROE COUNTY","1257","1230","20","0"
"2021 Spring Primary","43","OCONTO COUNTY","1155","850","0","0"
"2021 Spring Primary","44","ONEIDA COUNTY","1930","1726","0","0"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","7760","7611","51","0"
"2021 Spring Primary","46","OZAUKEE COUNTY","4597","4311","17","0"
"2021 Spring Primary","47","PEPIN COUNTY","155","85","0","0"
"2021 Spring Primary","48","PIERCE COUNTY","1289","1117","0","0"
"2021 Spring Primary","49","POLK COUNTY","1249","735","3","0"
"2021 Spring Primary","50","PORTAGE COUNTY","2663","2607","19","0"
"2021 Spring Primary","51","PRICE COUNTY","475","196","0","0"
"2021 Spring Primary","52","RACINE COUNTY","9276","9021","0","0"
"2021 Spring Primary","53","RICHLAND COUNTY","642","321","0","0"
"2021 Spring Primary","54","ROCK COUNTY","7114","6938","3","1"
"2021 Spring Primary","55","RUSK COUNTY","388","288","0","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3275","3133","9","0"
"2021 Spring Primary","57","SAUK COUNTY","2728","2503","11","1"
"2021 Spring Primary","58","SAWYER COUNTY","871","806","1","0"
"2021 Spring Primary","59","SHAWANO COUNTY","1275","1072","4","0"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5352","5173","6","0"
"2021 Spring Primary","61","TAYLOR COUNTY","330","236","3","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","676","226","0","0"
"2021 Spring Primary","63","VERNON COUNTY","831","462","2","0"
"2021 Spring Primary","64","VILAS COUNTY","989","780","1","0"
"2021 Spring Primary","65","WALWORTH COUNTY","3921","3749","7","0"
"2021 Spring Primary","66","WASHBURN COUNTY","669","435","0","0"
"2021 Spring Primary","67","WASHINGTON COUNTY","5960","5692","2","0"
"2021 Spring Primary","68","WAUKESHA COUNTY","20655","20029","1","0"
"2021 Spring Primary","69","WAUPACA COUNTY","1823","1610","6","0"
"2021 Spring Primary","70","WAUSHARA COUNTY","696","655","4","0"
"2021 Spring Primary","71","WINNEBAGO COUNTY","7617","7481","8","0"
"2021 Spring Primary","72","WOOD COUNTY","2985","2917","23","0"
"2021 Spring Primary","99999","TOTAL","274732","256196","515","2"
