"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","643","478","72","3"
"2021 Spring Primary","02","ASHLAND COUNTY","737","663","99","10"
"2021 Spring Primary","03","BARRON COUNTY","1334","1251","157","1"
"2021 Spring Primary","04","BAYFIELD COUNTY","820","782","62","1"
"2021 Spring Primary","05","BROWN COUNTY","16291","15918","2713","162"
"2021 Spring Primary","06","BUFFALO COUNTY","305","189","16","0"
"2021 Spring Primary","07","BURNETT COUNTY","579","465","48","0"
"2021 Spring Primary","08","CALUMET COUNTY","2069","2019","293","13"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2250","2111","255","7"
"2021 Spring Primary","10","CLARK COUNTY","691","446","88","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2511","2428","299","10"
"2021 Spring Primary","12","CRAWFORD COUNTY","555","372","73","1"
"2021 Spring Primary","13","DANE COUNTY","45132","43913","6232","201"
"2021 Spring Primary","14","DODGE COUNTY","3257","3183","560","24"
"2021 Spring Primary","15","DOOR COUNTY","1505","1448","130","4"
"2021 Spring Primary","16","DOUGLAS COUNTY","2626","2617","526","2"
"2021 Spring Primary","17","DUNN COUNTY","1657","1623","214","2"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3888","3810","694","62"
"2021 Spring Primary","19","FLORENCE COUNTY","198","148","47","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4512","4217","721","38"
"2021 Spring Primary","21","FOREST COUNTY","317","278","24","0"
"2021 Spring Primary","22","GRANT COUNTY","1775","1374","176","6"
"2021 Spring Primary","23","GREEN COUNTY","1884","1832","411","62"
"2021 Spring Primary","24","GREEN LAKE COUNTY","633","580","112","3"
"2021 Spring Primary","25","IOWA COUNTY","1274","1232","143","2"
"2021 Spring Primary","26","IRON COUNTY","410","406","73","1"
"2021 Spring Primary","27","JACKSON COUNTY","445","362","52","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3427","2993","425","22"
"2021 Spring Primary","29","JUNEAU COUNTY","863","670","81","5"
"2021 Spring Primary","30","KENOSHA COUNTY","8943","8812","1288","78"
"2021 Spring Primary","31","KEWAUNEE COUNTY","752","742","186","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","6470","6380","1431","92"
"2021 Spring Primary","33","LAFAYETTE COUNTY","599","504","65","1"
"2021 Spring Primary","34","LANGLADE COUNTY","609","481","68","2"
"2021 Spring Primary","35","LINCOLN COUNTY","1247","1177","58","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","3175","3096","561","18"
"2021 Spring Primary","37","MARATHON COUNTY","5904","5690","930","27"
"2021 Spring Primary","38","MARINETTE COUNTY","1887","1861","302","28"
"2021 Spring Primary","39","MARQUETTE COUNTY","577","431","50","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","66","65","6","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","63727","62757","4410","300"
"2021 Spring Primary","42","MONROE COUNTY","1335","1289","222","1"
"2021 Spring Primary","43","OCONTO COUNTY","1323","1129","220","11"
"2021 Spring Primary","44","ONEIDA COUNTY","2095","1901","191","3"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","8475","8318","1309","53"
"2021 Spring Primary","46","OZAUKEE COUNTY","4910","4853","613","28"
"2021 Spring Primary","47","PEPIN COUNTY","151","98","3","0"
"2021 Spring Primary","48","PIERCE COUNTY","1370","1348","108","0"
"2021 Spring Primary","49","POLK COUNTY","1311","1184","73","0"
"2021 Spring Primary","50","PORTAGE COUNTY","3048","2962","518","19"
"2021 Spring Primary","51","PRICE COUNTY","511","433","30","0"
"2021 Spring Primary","52","RACINE COUNTY","9618","9465","657","15"
"2021 Spring Primary","53","RICHLAND COUNTY","688","515","65","5"
"2021 Spring Primary","54","ROCK COUNTY","7702","7575","1010","17"
"2021 Spring Primary","55","RUSK COUNTY","406","354","31","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3673","3541","314","7"
"2021 Spring Primary","57","SAUK COUNTY","3013","2809","513","15"
"2021 Spring Primary","58","SAWYER COUNTY","942","913","103","1"
"2021 Spring Primary","59","SHAWANO COUNTY","1334","1222","226","7"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5757","5629","1140","103"
"2021 Spring Primary","61","TAYLOR COUNTY","379","300","49","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","726","523","46","1"
"2021 Spring Primary","63","VERNON COUNTY","945","704","39","0"
"2021 Spring Primary","64","VILAS COUNTY","1089","918","107","1"
"2021 Spring Primary","65","WALWORTH COUNTY","4135","3968","546","26"
"2021 Spring Primary","66","WASHBURN COUNTY","743","615","50","1"
"2021 Spring Primary","67","WASHINGTON COUNTY","6275","6004","845","49"
"2021 Spring Primary","68","WAUKESHA COUNTY","22189","21586","2709","88"
"2021 Spring Primary","69","WAUPACA COUNTY","1873","1829","275","7"
"2021 Spring Primary","70","WAUSHARA COUNTY","737","725","87","4"
"2021 Spring Primary","71","WINNEBAGO COUNTY","8190","8058","1382","42"
"2021 Spring Primary","72","WOOD COUNTY","3211","3152","522","12"
"2021 Spring Primary","99999","TOTAL","304698","293724","38154","1704"
