"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","595","425","4","0"
"2021 Spring Primary","02","ASHLAND COUNTY","669","583","0","0"
"2021 Spring Primary","03","BARRON COUNTY","1282","1185","15","0"
"2021 Spring Primary","04","BAYFIELD COUNTY","707","516","0","0"
"2021 Spring Primary","05","BROWN COUNTY","14764","13767","130","0"
"2021 Spring Primary","06","BUFFALO COUNTY","296","109","1","0"
"2021 Spring Primary","07","BURNETT COUNTY","557","425","12","0"
"2021 Spring Primary","08","CALUMET COUNTY","1913","1790","11","0"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2170","1985","2","0"
"2021 Spring Primary","10","CLARK COUNTY","660","334","7","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2334","2234","1","0"
"2021 Spring Primary","12","CRAWFORD COUNTY","487","285","12","0"
"2021 Spring Primary","13","DANE COUNTY","39117","36998","55","0"
"2021 Spring Primary","14","DODGE COUNTY","3030","2949","7","0"
"2021 Spring Primary","15","DOOR COUNTY","1408","1368","5","0"
"2021 Spring Primary","16","DOUGLAS COUNTY","2588","2544","31","0"
"2021 Spring Primary","17","DUNN COUNTY","1571","1492","16","0"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3598","3521","16","0"
"2021 Spring Primary","19","FLORENCE COUNTY","192","140","22","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4019","3425","58","0"
"2021 Spring Primary","21","FOREST COUNTY","301","256","4","0"
"2021 Spring Primary","22","GRANT COUNTY","1702","1236","30","0"
"2021 Spring Primary","23","GREEN COUNTY","1573","1486","15","0"
"2021 Spring Primary","24","GREEN LAKE COUNTY","612","556","20","0"
"2021 Spring Primary","25","IOWA COUNTY","1167","1096","0","0"
"2021 Spring Primary","26","IRON COUNTY","357","342","2","0"
"2021 Spring Primary","27","JACKSON COUNTY","419","277","0","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3150","2567","6","0"
"2021 Spring Primary","29","JUNEAU COUNTY","815","587","9","0"
"2021 Spring Primary","30","KENOSHA COUNTY","8105","7838","16","0"
"2021 Spring Primary","31","KEWAUNEE COUNTY","729","711","53","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","5637","5430","188","0"
"2021 Spring Primary","33","LAFAYETTE COUNTY","568","410","2","0"
"2021 Spring Primary","34","LANGLADE COUNTY","507","310","3","0"
"2021 Spring Primary","35","LINCOLN COUNTY","1180","947","0","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","2989","2892","50","0"
"2021 Spring Primary","37","MARATHON COUNTY","5489","5217","26","0"
"2021 Spring Primary","38","MARINETTE COUNTY","1793","1755","14","0"
"2021 Spring Primary","39","MARQUETTE COUNTY","524","236","0","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","0","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","59961","58765","42","0"
"2021 Spring Primary","42","MONROE COUNTY","1276","1237","22","0"
"2021 Spring Primary","43","OCONTO COUNTY","1189","887","6","0"
"2021 Spring Primary","44","ONEIDA COUNTY","1990","1771","7","0"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","7887","7686","75","0"
"2021 Spring Primary","46","OZAUKEE COUNTY","4664","4362","77","0"
"2021 Spring Primary","47","PEPIN COUNTY","152","87","0","0"
"2021 Spring Primary","48","PIERCE COUNTY","1303","1224","0","0"
"2021 Spring Primary","49","POLK COUNTY","1260","963","4","0"
"2021 Spring Primary","50","PORTAGE COUNTY","2745","2665","44","0"
"2021 Spring Primary","51","PRICE COUNTY","481","199","0","0"
"2021 Spring Primary","52","RACINE COUNTY","9256","9027","8","0"
"2021 Spring Primary","53","RICHLAND COUNTY","650","343","3","0"
"2021 Spring Primary","54","ROCK COUNTY","7319","7109","18","1"
"2021 Spring Primary","55","RUSK COUNTY","400","310","1","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3361","3163","12","0"
"2021 Spring Primary","57","SAUK COUNTY","2778","2546","27","1"
"2021 Spring Primary","58","SAWYER COUNTY","892","806","4","0"
"2021 Spring Primary","59","SHAWANO COUNTY","1294","1131","24","0"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5416","5200","45","0"
"2021 Spring Primary","61","TAYLOR COUNTY","342","253","6","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","688","235","2","0"
"2021 Spring Primary","63","VERNON COUNTY","857","462","2","0"
"2021 Spring Primary","64","VILAS COUNTY","1015","791","4","0"
"2021 Spring Primary","65","WALWORTH COUNTY","3950","3771","25","0"
"2021 Spring Primary","66","WASHBURN COUNTY","688","439","0","0"
"2021 Spring Primary","67","WASHINGTON COUNTY","6025","5749","11","0"
"2021 Spring Primary","68","WAUKESHA COUNTY","20975","20172","16","0"
"2021 Spring Primary","69","WAUPACA COUNTY","1841","1694","21","0"
"2021 Spring Primary","70","WAUSHARA COUNTY","705","679","19","0"
"2021 Spring Primary","71","WINNEBAGO COUNTY","7721","7557","50","0"
"2021 Spring Primary","72","WOOD COUNTY","3043","2944","44","0"
"2021 Spring Primary","99999","TOTAL","281763","264516","1462","2"
