"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","614","438","29","0"
"2021 Spring Primary","02","ASHLAND COUNTY","699","628","26","5"
"2021 Spring Primary","03","BARRON COUNTY","1289","1218","56","0"
"2021 Spring Primary","04","BAYFIELD COUNTY","743","682","10","0"
"2021 Spring Primary","05","BROWN COUNTY","15467","15007","1012","54"
"2021 Spring Primary","06","BUFFALO COUNTY","303","163","7","0"
"2021 Spring Primary","07","BURNETT COUNTY","568","456","18","0"
"2021 Spring Primary","08","CALUMET COUNTY","1976","1932","99","4"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2179","2063","67","4"
"2021 Spring Primary","10","CLARK COUNTY","657","391","35","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2400","2317","110","7"
"2021 Spring Primary","12","CRAWFORD COUNTY","524","315","32","0"
"2021 Spring Primary","13","DANE COUNTY","41515","40217","1201","46"
"2021 Spring Primary","14","DODGE COUNTY","3143","3061","164","11"
"2021 Spring Primary","15","DOOR COUNTY","1437","1413","52","0"
"2021 Spring Primary","16","DOUGLAS COUNTY","2597","2582","272","0"
"2021 Spring Primary","17","DUNN COUNTY","1600","1565","70","2"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3688","3656","230","18"
"2021 Spring Primary","19","FLORENCE COUNTY","193","143","38","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4205","3903","281","17"
"2021 Spring Primary","21","FOREST COUNTY","310","268","10","0"
"2021 Spring Primary","22","GRANT COUNTY","1721","1306","72","1"
"2021 Spring Primary","23","GREEN COUNTY","1705","1662","133","21"
"2021 Spring Primary","24","GREEN LAKE COUNTY","616","563","62","0"
"2021 Spring Primary","25","IOWA COUNTY","1211","1162","48","1"
"2021 Spring Primary","26","IRON COUNTY","377","367","22","0"
"2021 Spring Primary","27","JACKSON COUNTY","425","327","17","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3233","2686","128","8"
"2021 Spring Primary","29","JUNEAU COUNTY","831","622","18","1"
"2021 Spring Primary","30","KENOSHA COUNTY","8395","8309","450","13"
"2021 Spring Primary","31","KEWAUNEE COUNTY","737","724","116","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","6000","5908","746","29"
"2021 Spring Primary","33","LAFAYETTE COUNTY","584","434","27","0"
"2021 Spring Primary","34","LANGLADE COUNTY","517","318","27","0"
"2021 Spring Primary","35","LINCOLN COUNTY","1210","1143","19","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","3043","2963","204","4"
"2021 Spring Primary","37","MARATHON COUNTY","5637","5428","357","7"
"2021 Spring Primary","38","MARINETTE COUNTY","1823","1789","84","7"
"2021 Spring Primary","39","MARQUETTE COUNTY","547","369","15","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","64","64","0","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","61331","60715","1118","64"
"2021 Spring Primary","42","MONROE COUNTY","1289","1261","112","1"
"2021 Spring Primary","43","OCONTO COUNTY","1250","1003","48","1"
"2021 Spring Primary","44","ONEIDA COUNTY","2036","1851","57","3"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","8058","7980","548","14"
"2021 Spring Primary","46","OZAUKEE COUNTY","4728","4659","290","10"
"2021 Spring Primary","47","PEPIN COUNTY","149","96","0","0"
"2021 Spring Primary","48","PIERCE COUNTY","1328","1303","34","0"
"2021 Spring Primary","49","POLK COUNTY","1287","1025","16","0"
"2021 Spring Primary","50","PORTAGE COUNTY","2843","2811","168","5"
"2021 Spring Primary","51","PRICE COUNTY","497","232","0","0"
"2021 Spring Primary","52","RACINE COUNTY","9373","9241","135","1"
"2021 Spring Primary","53","RICHLAND COUNTY","654","381","23","2"
"2021 Spring Primary","54","ROCK COUNTY","7460","7334","339","3"
"2021 Spring Primary","55","RUSK COUNTY","400","324","24","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3476","3383","111","3"
"2021 Spring Primary","57","SAUK COUNTY","2884","2672","228","8"
"2021 Spring Primary","58","SAWYER COUNTY","916","843","31","1"
"2021 Spring Primary","59","SHAWANO COUNTY","1291","1192","111","3"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5529","5384","467","37"
"2021 Spring Primary","61","TAYLOR COUNTY","352","267","23","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","706","327","10","0"
"2021 Spring Primary","63","VERNON COUNTY","863","482","16","0"
"2021 Spring Primary","64","VILAS COUNTY","1063","889","44","1"
"2021 Spring Primary","65","WALWORTH COUNTY","4008","3844","190","5"
"2021 Spring Primary","66","WASHBURN COUNTY","707","536","12","0"
"2021 Spring Primary","67","WASHINGTON COUNTY","6056","5854","280","13"
"2021 Spring Primary","68","WAUKESHA COUNTY","21331","20881","880","20"
"2021 Spring Primary","69","WAUPACA COUNTY","1881","1786","123","2"
"2021 Spring Primary","70","WAUSHARA COUNTY","714","692","41","0"
"2021 Spring Primary","71","WINNEBAGO COUNTY","7858","7795","600","6"
"2021 Spring Primary","72","WOOD COUNTY","3102","3042","205","5"
"2021 Spring Primary","99999","TOTAL","290203","278647","12648","468"
