"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","36028","TOWN OF NEWTON - MANITOWOC COUNTY","82","82","0","0"
"2021 Spring Primary","36030","TOWN OF ROCKLAND - MANITOWOC COUNTY","14","14","0","0"
"2021 Spring Primary","36032","TOWN OF SCHLESWIG - MANITOWOC COUNTY","36","35","0","0"
"2021 Spring Primary","36034","TOWN OF TWO CREEKS - MANITOWOC COUNTY","1","0","0",""
"2021 Spring Primary","36036","TOWN OF TWO RIVERS - MANITOWOC COUNTY","72","72","0","0"
"2021 Spring Primary","36112","VILLAGE OF CLEVELAND - MANITOWOC COUNTY","46","44","0","0"
"2021 Spring Primary","36126","VILLAGE OF FRANCIS CREEK - MANITOWOC COUNTY","11","0","0",""
"2021 Spring Primary","36132","VILLAGE OF KELLNERSVILLE - MANITOWOC COUNTY","6","6","0","0"
"2021 Spring Primary","36147","VILLAGE OF MARIBEL - MANITOWOC COUNTY","8","0","0",""
"2021 Spring Primary","36151","VILLAGE OF MISHICOT - MANITOWOC COUNTY","60","60","0","0"
"2021 Spring Primary","36176","VILLAGE OF REEDSVILLE - MANITOWOC COUNTY","27","27","0","0"
"2021 Spring Primary","36181","VILLAGE OF ST. NAZIANZ - MANITOWOC COUNTY","4","4","0","0"
"2021 Spring Primary","36186","VILLAGE OF VALDERS - MANITOWOC COUNTY","22","22","0","0"
"2021 Spring Primary","36191","VILLAGE OF WHITELAW - MANITOWOC COUNTY","2","2","0","0"
"2021 Spring Primary","36241","CITY OF KIEL - MULTIPLE COUNTIES","124","123","1","0"
"2021 Spring Primary","36251","CITY OF MANITOWOC - MANITOWOC COUNTY","1338","1331","0","0"
"2021 Spring Primary","36286","CITY OF TWO RIVERS - MANITOWOC COUNTY","594","546","0","0"
"2021 Spring Primary","37002","TOWN OF BERGEN - MARATHON COUNTY","16","0","0",""
"2021 Spring Primary","37004","TOWN OF BERLIN - MARATHON COUNTY","34","0","0",""
"2021 Spring Primary","37006","TOWN OF BERN - MARATHON COUNTY","5","0","0",""
"2021 Spring Primary","37008","TOWN OF BEVENT - MARATHON COUNTY","40","0","0",""
"2021 Spring Primary","37010","TOWN OF BRIGHTON - MARATHON COUNTY","2","2","0","0"
"2021 Spring Primary","37012","TOWN OF CASSEL - MARATHON COUNTY","7","7","0","0"
"2021 Spring Primary","37014","TOWN OF CLEVELAND - MARATHON COUNTY","35","0","0",""
"2021 Spring Primary","37016","TOWN OF DAY - MARATHON COUNTY","10","10","0","0"
"2021 Spring Primary","37018","TOWN OF EASTON - MARATHON COUNTY","24","0","0",""
"2021 Spring Primary","37020","TOWN OF EAU PLEINE - MARATHON COUNTY","11","11","0","0"
"2021 Spring Primary","37022","TOWN OF ELDERON - MARATHON COUNTY","11","0","0",""
"2021 Spring Primary","37024","TOWN OF EMMET - MARATHON COUNTY","10","10","0","0"
"2021 Spring Primary","37026","TOWN OF FRANKFORT - MARATHON COUNTY","1","0","0",""
"2021 Spring Primary","37028","TOWN OF FRANZEN - MARATHON COUNTY","19","19","0","0"
"2021 Spring Primary","37030","TOWN OF GREEN VALLEY - MARATHON COUNTY","12","12","0","0"
"2021 Spring Primary","37032","TOWN OF GUENTHER - MARATHON COUNTY","6","0","0",""
"2021 Spring Primary","37034","TOWN OF HALSEY - MARATHON COUNTY","14","0","0",""
"2021 Spring Primary","37036","TOWN OF HAMBURG - MARATHON COUNTY","16","16","0","0"
"2021 Spring Primary","37038","TOWN OF HARRISON - MARATHON COUNTY","8","8","0","0"
"2021 Spring Primary","37040","TOWN OF HEWITT - MARATHON COUNTY","16","16","0","0"
"2021 Spring Primary","37042","TOWN OF HOLTON - MARATHON COUNTY","32","19","0","0"
"2021 Spring Primary","37044","TOWN OF HULL - MARATHON COUNTY","3","0","0",""
"2021 Spring Primary","37046","TOWN OF JOHNSON - MARATHON COUNTY","13","13","0","0"
"2021 Spring Primary","37048","TOWN OF KNOWLTON - MARATHON COUNTY","59","57","0","0"
"2021 Spring Primary","37054","TOWN OF MARATHON - MARATHON COUNTY","12","12","0","0"
"2021 Spring Primary","37056","TOWN OF MCMILLAN - MARATHON COUNTY","45","0","0",""
"2021 Spring Primary","37058","TOWN OF MOSINEE - MARATHON COUNTY","96","96","0","0"
"2021 Spring Primary","37060","TOWN OF NORRIE - MARATHON COUNTY","31","0","0",""
"2021 Spring Primary","37062","TOWN OF PLOVER - MARATHON COUNTY","8","6","0","0"
"2021 Spring Primary","37064","TOWN OF REID - MARATHON COUNTY","26","0","0",""
