"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","583","387","1","0"
"2021 Spring Primary","02","ASHLAND COUNTY","657","527","0","0"
"2021 Spring Primary","03","BARRON COUNTY","1218","1124","3","0"
"2021 Spring Primary","04","BAYFIELD COUNTY","638","299","0","0"
"2021 Spring Primary","05","BROWN COUNTY","13804","13081","1","0"
"2021 Spring Primary","06","BUFFALO COUNTY","287","23","0","0"
"2021 Spring Primary","07","BURNETT COUNTY","528","285","0","0"
"2021 Spring Primary","08","CALUMET COUNTY","1804","1619","2","0"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2121","1386","0","0"
"2021 Spring Primary","10","CLARK COUNTY","635","236","0","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2234","1863","0","0"
"2021 Spring Primary","12","CRAWFORD COUNTY","473","269","0","0"
"2021 Spring Primary","13","DANE COUNTY","34949","32890","1","0"
"2021 Spring Primary","14","DODGE COUNTY","2886","2481","0","0"
"2021 Spring Primary","15","DOOR COUNTY","1384","754","0","0"
"2021 Spring Primary","16","DOUGLAS COUNTY","2516","2491","0","0"
"2021 Spring Primary","17","DUNN COUNTY","1412","1127","0","0"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3465","3437","0","0"
"2021 Spring Primary","19","FLORENCE COUNTY","185","125","4","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","3806","3048","10","0"
"2021 Spring Primary","21","FOREST COUNTY","289","172","0","0"
"2021 Spring Primary","22","GRANT COUNTY","1627","1083","2","0"
"2021 Spring Primary","23","GREEN COUNTY","1406","1309","0","0"
"2021 Spring Primary","24","GREEN LAKE COUNTY","593","525","2","0"
"2021 Spring Primary","25","IOWA COUNTY","1090","975","0","0"
"2021 Spring Primary","26","IRON COUNTY","332","299","0","0"
"2021 Spring Primary","27","JACKSON COUNTY","392","226","0","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3024","1992","0","0"
"2021 Spring Primary","29","JUNEAU COUNTY","751","402","0","0"
"2021 Spring Primary","30","KENOSHA COUNTY","7731","7557","0","0"
"2021 Spring Primary","31","KEWAUNEE COUNTY","715","695","6","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","5230","5152","0","0"
"2021 Spring Primary","33","LAFAYETTE COUNTY","560","357","0","0"
"2021 Spring Primary","34","LANGLADE COUNTY","462","226","0","0"
"2021 Spring Primary","35","LINCOLN COUNTY","1144","413","0","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","2899","2768","1","0"
"2021 Spring Primary","37","MARATHON COUNTY","5266","4485","0","0"
"2021 Spring Primary","38","MARINETTE COUNTY","1745","1659","0","0"
"2021 Spring Primary","39","MARQUETTE COUNTY","490","64","0","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","11","0","0",""
"2021 Spring Primary","41","MILWAUKEE COUNTY","55368","54268","0","0"
"2021 Spring Primary","42","MONROE COUNTY","1235","1196","4","0"
"2021 Spring Primary","43","OCONTO COUNTY","1121","632","0","0"
"2021 Spring Primary","44","ONEIDA COUNTY","1848","1479","0","0"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","7619","7419","0","0"
"2021 Spring Primary","46","OZAUKEE COUNTY","4458","4058","0","0"
"2021 Spring Primary","47","PEPIN COUNTY","148","38","0","0"
"2021 Spring Primary","48","PIERCE COUNTY","1264","730","0","0"
"2021 Spring Primary","49","POLK COUNTY","1227","376","0","0"
"2021 Spring Primary","50","PORTAGE COUNTY","2566","2357","1","0"
"2021 Spring Primary","51","PRICE COUNTY","472","100","0","0"
"2021 Spring Primary","52","RACINE COUNTY","9168","8489","0","0"
"2021 Spring Primary","53","RICHLAND COUNTY","627","9","0","0"
"2021 Spring Primary","54","ROCK COUNTY","6937","6723","0","1"
"2021 Spring Primary","55","RUSK COUNTY","384","268","0","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3196","3043","3","0"
"2021 Spring Primary","57","SAUK COUNTY","2636","2057","1","0"
"2021 Spring Primary","58","SAWYER COUNTY","808","586","0","0"
"2021 Spring Primary","59","SHAWANO COUNTY","1246","1054","0","0"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5251","5034","0","0"
"2021 Spring Primary","61","TAYLOR COUNTY","306","198","0","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","659","117","0","0"
"2021 Spring Primary","63","VERNON COUNTY","814","448","0","0"
"2021 Spring Primary","64","VILAS COUNTY","977","688","0","0"
"2021 Spring Primary","65","WALWORTH COUNTY","3803","3674","0","0"
"2021 Spring Primary","66","WASHBURN COUNTY","613","220","0","0"
"2021 Spring Primary","67","WASHINGTON COUNTY","5867","5388","0","0"
"2021 Spring Primary","68","WAUKESHA COUNTY","20166","19609","0","0"
"2021 Spring Primary","69","WAUPACA COUNTY","1805","1563","0","0"
"2021 Spring Primary","70","WAUSHARA COUNTY","692","469","0","0"
"2021 Spring Primary","71","WINNEBAGO COUNTY","7400","7086","0","0"
"2021 Spring Primary","72","WOOD COUNTY","2953","2821","0","0"
"2021 Spring Primary","99999","TOTAL","264976","240008","42","1"
