"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","668","596","157","11"
"2021 Spring Primary","02","ASHLAND COUNTY","769","746","293","37"
"2021 Spring Primary","03","BARRON COUNTY","1384","1363","407","15"
"2021 Spring Primary","04","BAYFIELD COUNTY","910","890","287","8"
"2021 Spring Primary","05","BROWN COUNTY","17289","17187","6832","603"
"2021 Spring Primary","06","BUFFALO COUNTY","289","246","64","1"
"2021 Spring Primary","07","BURNETT COUNTY","607","495","153","5"
"2021 Spring Primary","08","CALUMET COUNTY","2196","2181","721","58"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2352","2317","703","46"
"2021 Spring Primary","10","CLARK COUNTY","704","541","252","10"
"2021 Spring Primary","11","COLUMBIA COUNTY","2659","2620","904","69"
"2021 Spring Primary","12","CRAWFORD COUNTY","579","398","121","5"
"2021 Spring Primary","13","DANE COUNTY","48680","48586","19157","1097"
"2021 Spring Primary","14","DODGE COUNTY","3427","3384","1413","101"
"2021 Spring Primary","15","DOOR COUNTY","1626","1614","447","45"
"2021 Spring Primary","16","DOUGLAS COUNTY","2661","2659","946","16"
"2021 Spring Primary","17","DUNN COUNTY","1751","1732","702","51"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","4104","4094","1629","229"
"2021 Spring Primary","19","FLORENCE COUNTY","205","156","66","2"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4880","4689","2114","249"
"2021 Spring Primary","21","FOREST COUNTY","336","306","101","2"
"2021 Spring Primary","22","GRANT COUNTY","1837","1499","500","22"
"2021 Spring Primary","23","GREEN COUNTY","2150","2148","1124","210"
"2021 Spring Primary","24","GREEN LAKE COUNTY","650","601","204","15"
"2021 Spring Primary","25","IOWA COUNTY","1340","1324","462","31"
"2021 Spring Primary","26","IRON COUNTY","449","448","157","5"
"2021 Spring Primary","27","JACKSON COUNTY","475","443","152","13"
"2021 Spring Primary","28","JEFFERSON COUNTY","3724","3581","1258","202"
"2021 Spring Primary","29","JUNEAU COUNTY","906","721","240","13"
"2021 Spring Primary","30","KENOSHA COUNTY","9605","9595","3511","294"
"2021 Spring Primary","31","KEWAUNEE COUNTY","783","772","295","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","7181","7164","3675","514"
"2021 Spring Primary","33","LAFAYETTE COUNTY","588","575","212","5"
"2021 Spring Primary","34","LANGLADE COUNTY","629","509","144","10"
"2021 Spring Primary","35","LINCOLN COUNTY","1308","1240","304","10"
"2021 Spring Primary","36","MANITOWOC COUNTY","3339","3277","1366","121"
"2021 Spring Primary","37","MARATHON COUNTY","6226","6110","2258","126"
"2021 Spring Primary","38","MARINETTE COUNTY","2008","2000","833","93"
"2021 Spring Primary","39","MARQUETTE COUNTY","605","471","163","4"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","11","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","66687","66558","18542","1355"
"2021 Spring Primary","42","MONROE COUNTY","1385","1365","510","13"
"2021 Spring Primary","43","OCONTO COUNTY","1378","1278","548","19"
"2021 Spring Primary","44","ONEIDA COUNTY","2216","2056","664","20"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","8858","8842","3070","179"
"2021 Spring Primary","46","OZAUKEE COUNTY","5242","5237","1710","198"
"2021 Spring Primary","47","PEPIN COUNTY","152","139","29","1"
"2021 Spring Primary","48","PIERCE COUNTY","1465","1455","443","37"
"2021 Spring Primary","49","POLK COUNTY","1391","1286","326","13"
"2021 Spring Primary","50","PORTAGE COUNTY","3243","3229","1290","84"
"2021 Spring Primary","51","PRICE COUNTY","506","463","101","0"
"2021 Spring Primary","52","RACINE COUNTY","10024","9972","2578","167"
"2021 Spring Primary","53","RICHLAND COUNTY","712","564","242","11"
"2021 Spring Primary","54","ROCK COUNTY","8061","8027","2943","127"
"2021 Spring Primary","55","RUSK COUNTY","421","378","95","4"
"2021 Spring Primary","56","ST. CROIX COUNTY","3919","3900","1107","79"
"2021 Spring Primary","57","SAUK COUNTY","3159","2999","1199","69"
"2021 Spring Primary","58","SAWYER COUNTY","964","935","274","4"
"2021 Spring Primary","59","SHAWANO COUNTY","1404","1339","547","34"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","6235","6181","2802","378"
"2021 Spring Primary","61","TAYLOR COUNTY","397","324","128","2"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","741","611","199","5"
"2021 Spring Primary","63","VERNON COUNTY","1029","803","187","4"
"2021 Spring Primary","64","VILAS COUNTY","1157","1115","386","15"
"2021 Spring Primary","65","WALWORTH COUNTY","4355","4336","1411","124"
"2021 Spring Primary","66","WASHBURN COUNTY","782","675","194","6"
"2021 Spring Primary","67","WASHINGTON COUNTY","6678","6504","2311","309"
"2021 Spring Primary","68","WAUKESHA COUNTY","23657","23303","7602","843"
"2021 Spring Primary","69","WAUPACA COUNTY","1942","1935","625","37"
"2021 Spring Primary","70","WAUSHARA COUNTY","757","750","227","7"
"2021 Spring Primary","71","WINNEBAGO COUNTY","8589","8564","3072","180"
"2021 Spring Primary","72","WOOD COUNTY","3338","3312","1247","63"
"2021 Spring Primary","99999","TOTAL","322788","317778","110947","8735"
