"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","668","599","202","11"
"2021 Spring Primary","02","ASHLAND COUNTY","770","747","329","37"
"2021 Spring Primary","03","BARRON COUNTY","1383","1363","453","15"
"2021 Spring Primary","04","BAYFIELD COUNTY","915","896","372","8"
"2021 Spring Primary","05","BROWN COUNTY","17285","17204","7533","619"
"2021 Spring Primary","06","BUFFALO COUNTY","293","261","86","1"
"2021 Spring Primary","07","BURNETT COUNTY","607","495","178","5"
"2021 Spring Primary","08","CALUMET COUNTY","2196","2181","817","58"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2361","2330","852","49"
"2021 Spring Primary","10","CLARK COUNTY","704","541","285","10"
"2021 Spring Primary","11","COLUMBIA COUNTY","2666","2627","1001","71"
"2021 Spring Primary","12","CRAWFORD COUNTY","582","404","145","6"
"2021 Spring Primary","13","DANE COUNTY","48695","48593","22653","1103"
"2021 Spring Primary","14","DODGE COUNTY","3427","3386","1581","101"
"2021 Spring Primary","15","DOOR COUNTY","1642","1630","610","54"
"2021 Spring Primary","16","DOUGLAS COUNTY","2662","2659","1012","16"
"2021 Spring Primary","17","DUNN COUNTY","1752","1734","767","51"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","4103","4093","1757","229"
"2021 Spring Primary","19","FLORENCE COUNTY","204","156","75","2"
"2021 Spring Primary","20","FOND DU LAC COUNTY","4895","4711","2547","266"
"2021 Spring Primary","21","FOREST COUNTY","337","307","129","3"
"2021 Spring Primary","22","GRANT COUNTY","1838","1502","570","22"
"2021 Spring Primary","23","GREEN COUNTY","2157","2155","1290","218"
"2021 Spring Primary","24","GREEN LAKE COUNTY","651","602","236","16"
"2021 Spring Primary","25","IOWA COUNTY","1343","1328","578","33"
"2021 Spring Primary","26","IRON COUNTY","450","449","189","5"
"2021 Spring Primary","27","JACKSON COUNTY","476","444","190","14"
"2021 Spring Primary","28","JEFFERSON COUNTY","3734","3595","1461","211"
"2021 Spring Primary","29","JUNEAU COUNTY","906","723","288","13"
"2021 Spring Primary","30","KENOSHA COUNTY","9612","9598","4137","297"
"2021 Spring Primary","31","KEWAUNEE COUNTY","784","775","334","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","7187","7171","4179","520"
"2021 Spring Primary","33","LAFAYETTE COUNTY","591","591","255","5"
"2021 Spring Primary","34","LANGLADE COUNTY","641","525","190","12"
"2021 Spring Primary","35","LINCOLN COUNTY","1309","1278","380","10"
"2021 Spring Primary","36","MANITOWOC COUNTY","3339","3277","1495","121"
"2021 Spring Primary","37","MARATHON COUNTY","6228","6151","2578","126"
"2021 Spring Primary","38","MARINETTE COUNTY","2008","2000","873","93"
"2021 Spring Primary","39","MARQUETTE COUNTY","605","471","163","4"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","11","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","66711","66582","21674","1379"
"2021 Spring Primary","42","MONROE COUNTY","1385","1362","550","13"
"2021 Spring Primary","43","OCONTO COUNTY","1385","1292","657","22"
"2021 Spring Primary","44","ONEIDA COUNTY","2216","2056","717","20"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","8859","8841","3347","179"
"2021 Spring Primary","46","OZAUKEE COUNTY","5241","5236","1916","198"
"2021 Spring Primary","47","PEPIN COUNTY","152","139","29","1"
"2021 Spring Primary","48","PIERCE COUNTY","1466","1455","460","37"
"2021 Spring Primary","49","POLK COUNTY","1391","1286","380","13"
"2021 Spring Primary","50","PORTAGE COUNTY","3243","3231","1458","84"
"2021 Spring Primary","51","PRICE COUNTY","506","463","102","0"
"2021 Spring Primary","52","RACINE COUNTY","10024","9976","2840","169"
"2021 Spring Primary","53","RICHLAND COUNTY","712","564","257","11"
"2021 Spring Primary","54","ROCK COUNTY","8061","8027","3394","128"
"2021 Spring Primary","55","RUSK COUNTY","421","379","104","4"
"2021 Spring Primary","56","ST. CROIX COUNTY","3922","3903","1415","79"
"2021 Spring Primary","57","SAUK COUNTY","3161","3002","1317","71"
"2021 Spring Primary","58","SAWYER COUNTY","967","939","335","6"
"2021 Spring Primary","59","SHAWANO COUNTY","1405","1340","624","34"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","6234","6181","3068","379"
"2021 Spring Primary","61","TAYLOR COUNTY","397","324","141","2"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","741","611","218","5"
"2021 Spring Primary","63","VERNON COUNTY","1029","802","226","4"
"2021 Spring Primary","64","VILAS COUNTY","1157","1115","426","15"
"2021 Spring Primary","65","WALWORTH COUNTY","4357","4338","1593","128"
"2021 Spring Primary","66","WASHBURN COUNTY","782","675","203","6"
"2021 Spring Primary","67","WASHINGTON COUNTY","6676","6502","2540","310"
"2021 Spring Primary","68","WAUKESHA COUNTY","23653","23307","8687","846"
"2021 Spring Primary","69","WAUPACA COUNTY","1947","1938","694","40"
"2021 Spring Primary","70","WAUSHARA COUNTY","757","750","256","7"
"2021 Spring Primary","71","WINNEBAGO COUNTY","8589","8564","3498","180"
"2021 Spring Primary","72","WOOD COUNTY","3334","3314","1331","63"
"2021 Spring Primary","99999","TOTAL","322952","318111","127238","8868"
