"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01002","TOWN OF ADAMS - ADAMS COUNTY","22","22","11","0"
"2021 Spring Primary","01004","TOWN OF BIG FLATS - ADAMS COUNTY","16","0","0",""
"2021 Spring Primary","01006","TOWN OF COLBURN - ADAMS COUNTY","9","9","3","0"
"2021 Spring Primary","01008","TOWN OF DELL PRAIRIE - ADAMS COUNTY","42","41","0","0"
"2021 Spring Primary","01010","TOWN OF EASTON - ADAMS COUNTY","42","42","7","0"
"2021 Spring Primary","01012","TOWN OF JACKSON - ADAMS COUNTY","37","32","13","0"
"2021 Spring Primary","01016","TOWN OF LINCOLN - ADAMS COUNTY","17","15","8","0"
"2021 Spring Primary","01018","TOWN OF MONROE - ADAMS COUNTY","15","12","5","0"
"2021 Spring Primary","01020","TOWN OF NEW CHESTER - ADAMS COUNTY","31","31","0","0"
"2021 Spring Primary","01022","TOWN OF NEW HAVEN - ADAMS COUNTY","23","23","6","0"
"2021 Spring Primary","01024","TOWN OF PRESTON - ADAMS COUNTY","41","0","0",""
"2021 Spring Primary","01026","TOWN OF QUINCY - ADAMS COUNTY","55","55","29","2"
"2021 Spring Primary","01028","TOWN OF RICHFIELD - ADAMS COUNTY","2","2","0","0"
"2021 Spring Primary","01030","TOWN OF ROME - ADAMS COUNTY","140","140","66","8"
"2021 Spring Primary","01032","TOWN OF SPRINGVILLE - ADAMS COUNTY","55","55","16","0"
"2021 Spring Primary","01034","TOWN OF STRONGS PRAIRIE - ADAMS COUNTY","16","15","5","0"
"2021 Spring Primary","01126","VILLAGE OF FRIENDSHIP - ADAMS COUNTY","15","15","8","0"
"2021 Spring Primary","01201","CITY OF ADAMS - ADAMS COUNTY","87","87","25","1"
"2021 Spring Primary","02002","TOWN OF AGENDA - ASHLAND COUNTY","24","20","15","0"
"2021 Spring Primary","02004","TOWN OF ASHLAND - ASHLAND COUNTY","22","22","10","0"
"2021 Spring Primary","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","4","4","0","0"
"2021 Spring Primary","02008","TOWN OF GINGLES - ASHLAND COUNTY","36","36","14","0"
"2021 Spring Primary","02010","TOWN OF GORDON - ASHLAND COUNTY","7","7","0","0"
"2021 Spring Primary","02012","TOWN OF JACOBS - ASHLAND COUNTY","4","4","2","0"
"2021 Spring Primary","02014","TOWN OF LA POINTE - ASHLAND COUNTY","57","57","46","21"
"2021 Spring Primary","02016","TOWN OF MARENGO - ASHLAND COUNTY","15","8","5","0"
"2021 Spring Primary","02018","TOWN OF MORSE - ASHLAND COUNTY","26","26","11","0"
"2021 Spring Primary","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","2","2","0","0"
"2021 Spring Primary","02022","TOWN OF SANBORN - ASHLAND COUNTY","17","16","13","13"
"2021 Spring Primary","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","4","4","3","0"
"2021 Spring Primary","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","22","22","8","0"
"2021 Spring Primary","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","8","8","0","0"
"2021 Spring Primary","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","511","511","202","3"
"2021 Spring Primary","02251","CITY OF MELLEN - ASHLAND COUNTY","11","0","0",""
"2021 Spring Primary","03002","TOWN OF ALMENA - BARRON COUNTY","24","24","6","0"
"2021 Spring Primary","03004","TOWN OF ARLAND - BARRON COUNTY","9","9","2","0"
"2021 Spring Primary","03006","TOWN OF BARRON - BARRON COUNTY","7","6","0","0"
"2021 Spring Primary","03008","TOWN OF BEAR LAKE - BARRON COUNTY","11","11","4","0"
"2021 Spring Primary","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","32","32","10","0"
"2021 Spring Primary","03012","TOWN OF CHETEK - BARRON COUNTY","9","9","5","2"
"2021 Spring Primary","03014","TOWN OF CLINTON - BARRON COUNTY","16","16","0","0"
"2021 Spring Primary","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","23","23","14","1"
"2021 Spring Primary","03018","TOWN OF CUMBERLAND - BARRON COUNTY","30","30","13","0"
"2021 Spring Primary","03020","TOWN OF DALLAS - BARRON COUNTY","17","17","8","0"
"2021 Spring Primary","03022","TOWN OF DOVRE - BARRON COUNTY","22","22","3","1"
"2021 Spring Primary","03024","TOWN OF DOYLE - BARRON COUNTY","8","8","1","0"
"2021 Spring Primary","03026","TOWN OF LAKELAND - BARRON COUNTY","26","26","6","0"
"2021 Spring Primary","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","10","8","4","0"
"2021 Spring Primary","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","27","27","8","0"
"2021 Spring Primary","03032","TOWN OF OAK GROVE - BARRON COUNTY","25","25","9","0"
"2021 Spring Primary","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","7","0","0",""
"2021 Spring Primary","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","65","65","27","0"
"2021 Spring Primary","03038","TOWN OF RICE LAKE - BARRON COUNTY","104","104","40","2"
"2021 Spring Primary","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","7","7","4","0"
"2021 Spring Primary","03042","TOWN OF STANFOLD - BARRON COUNTY","15","15","2","0"
"2021 Spring Primary","03044","TOWN OF STANLEY - BARRON COUNTY","68","68","29","0"
"2021 Spring Primary","03046","TOWN OF SUMNER - BARRON COUNTY","10","10","5","0"
"2021 Spring Primary","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","7","2","0","0"
"2021 Spring Primary","03050","TOWN OF VANCE CREEK - BARRON COUNTY","7","6","0","0"
