"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2021 Spring Primary","01","ADAMS COUNTY","583","417","2","0"
"2021 Spring Primary","02","ASHLAND COUNTY","660","546","0","0"
"2021 Spring Primary","03","BARRON COUNTY","1248","1152","4","0"
"2021 Spring Primary","04","BAYFIELD COUNTY","649","367","0","0"
"2021 Spring Primary","05","BROWN COUNTY","14011","13244","4","0"
"2021 Spring Primary","06","BUFFALO COUNTY","287","23","0","0"
"2021 Spring Primary","07","BURNETT COUNTY","534","305","1","0"
"2021 Spring Primary","08","CALUMET COUNTY","1823","1655","5","0"
"2021 Spring Primary","09","CHIPPEWA COUNTY","2132","1699","0","0"
"2021 Spring Primary","10","CLARK COUNTY","636","269","0","0"
"2021 Spring Primary","11","COLUMBIA COUNTY","2257","2117","0","0"
"2021 Spring Primary","12","CRAWFORD COUNTY","478","272","2","0"
"2021 Spring Primary","13","DANE COUNTY","35995","34424","1","0"
"2021 Spring Primary","14","DODGE COUNTY","2922","2643","0","0"
"2021 Spring Primary","15","DOOR COUNTY","1390","1173","0","0"
"2021 Spring Primary","16","DOUGLAS COUNTY","2544","2504","0","0"
"2021 Spring Primary","17","DUNN COUNTY","1484","1361","0","0"
"2021 Spring Primary","18","EAU CLAIRE COUNTY","3522","3471","0","0"
"2021 Spring Primary","19","FLORENCE COUNTY","190","140","8","0"
"2021 Spring Primary","20","FOND DU LAC COUNTY","3865","3279","27","0"
"2021 Spring Primary","21","FOREST COUNTY","290","174","0","0"
"2021 Spring Primary","22","GRANT COUNTY","1662","1158","3","0"
"2021 Spring Primary","23","GREEN COUNTY","1436","1386","0","0"
"2021 Spring Primary","24","GREEN LAKE COUNTY","607","555","5","0"
"2021 Spring Primary","25","IOWA COUNTY","1100","1039","0","0"
"2021 Spring Primary","26","IRON COUNTY","358","330","2","0"
"2021 Spring Primary","27","JACKSON COUNTY","396","238","0","0"
"2021 Spring Primary","28","JEFFERSON COUNTY","3064","2505","0","0"
"2021 Spring Primary","29","JUNEAU COUNTY","774","440","3","0"
"2021 Spring Primary","30","KENOSHA COUNTY","7798","7641","0","0"
"2021 Spring Primary","31","KEWAUNEE COUNTY","718","703","7","0"
"2021 Spring Primary","32","LA CROSSE COUNTY","5331","5241","27","0"
"2021 Spring Primary","33","LAFAYETTE COUNTY","545","388","0","0"
"2021 Spring Primary","34","LANGLADE COUNTY","467","251","0","0"
"2021 Spring Primary","35","LINCOLN COUNTY","1150","425","0","0"
"2021 Spring Primary","36","MANITOWOC COUNTY","2920","2802","7","0"
"2021 Spring Primary","37","MARATHON COUNTY","5352","4802","0","0"
"2021 Spring Primary","38","MARINETTE COUNTY","1752","1715","0","0"
"2021 Spring Primary","39","MARQUETTE COUNTY","498","162","0","0"
"2021 Spring Primary","40","MENOMINEE COUNTY","65","65","0","0"
"2021 Spring Primary","41","MILWAUKEE COUNTY","58122","54709","0","0"
"2021 Spring Primary","42","MONROE COUNTY","1245","1219","7","0"
"2021 Spring Primary","43","OCONTO COUNTY","1158","752","0","0"
"2021 Spring Primary","44","ONEIDA COUNTY","1913","1712","0","0"
"2021 Spring Primary","45","OUTAGAMIE COUNTY","7716","7543","8","0"
"2021 Spring Primary","46","OZAUKEE COUNTY","4527","4169","2","0"
"2021 Spring Primary","47","PEPIN COUNTY","155","85","0","0"
"2021 Spring Primary","48","PIERCE COUNTY","1278","1058","0","0"
"2021 Spring Primary","49","POLK COUNTY","1229","432","0","0"
"2021 Spring Primary","50","PORTAGE COUNTY","2623","2523","3","0"
"2021 Spring Primary","51","PRICE COUNTY","479","111","0","0"
"2021 Spring Primary","52","RACINE COUNTY","9214","8500","0","0"
"2021 Spring Primary","53","RICHLAND COUNTY","635","303","0","0"
"2021 Spring Primary","54","ROCK COUNTY","7028","6862","2","1"
"2021 Spring Primary","55","RUSK COUNTY","388","281","0","0"
"2021 Spring Primary","56","ST. CROIX COUNTY","3248","3100","5","0"
"2021 Spring Primary","57","SAUK COUNTY","2698","2478","5","1"
"2021 Spring Primary","58","SAWYER COUNTY","861","779","0","0"
"2021 Spring Primary","59","SHAWANO COUNTY","1261","1064","2","0"
"2021 Spring Primary","60","SHEBOYGAN COUNTY","5309","5111","0","0"
"2021 Spring Primary","61","TAYLOR COUNTY","321","230","0","0"
"2021 Spring Primary","62","TREMPEALEAU COUNTY","667","191","0","0"
"2021 Spring Primary","63","VERNON COUNTY","832","462","1","0"
"2021 Spring Primary","64","VILAS COUNTY","984","702","0","0"
"2021 Spring Primary","65","WALWORTH COUNTY","3882","3711","0","0"
"2021 Spring Primary","66","WASHBURN COUNTY","628","221","0","0"
"2021 Spring Primary","67","WASHINGTON COUNTY","5914","5633","0","0"
"2021 Spring Primary","68","WAUKESHA COUNTY","20448","19802","0","0"
"2021 Spring Primary","69","WAUPACA COUNTY","1816","1600","1","0"
"2021 Spring Primary","70","WAUSHARA COUNTY","694","624","1","0"
"2021 Spring Primary","71","WINNEBAGO COUNTY","7491","7252","0","0"
"2021 Spring Primary","72","WOOD COUNTY","2964","2890","0","0"
"2021 Spring Primary","99999","TOTAL","271221","249190","145","2"
